ID,Age,Gender,Caregiver,Item,Utterances_C,MLU_C,Utterances_M,MLU_M,Token_C,TTR_C,VocD_C,Token_M,TTR_M,VocD_M,Turn,Nodes,Density,Clustering,Length
P52,66,F,MOT,Starfish,76,3.526,102,4.539,268,0.328358,27.52,454,0.292952,43.38,243,45,0.045454545454545500,0.2946127946127950,2.281045751633990
P53,66,M,MOT,Car,38,3.974,56,3.857,168,0.5,53.54,210,0.452381,42.79,158,38,0.041251778093883400,0.30877192982456100,1.8055555555555600
P53,66,M,MOT,ComputerBox,27,3.963,42,4.857,138,0.536232,44.62,218,0.376147,34.95,127,33,0.03787878787878790,0.3686868686868690,1.5
P53,66,M,MOT,Degu,41,3.585,73,4.63,141,0.468085,34.92,344,0.343023,34.09,132,33,0.03598484848484850,0.22727272727272700,2.5
P53,66,M,MOT,Robodog,23,3.348,24,5.292,76,0.592105,35.45,119,0.529412,40.62,69,148,0.013421584850156300,0.2884097134097130,4.515417072379100
P53,66,M,MOT,Meerkat,48,3.646,55,4.945,175,0.48,36.66,278,0.395683,33.12,157,42,0.024390243902439000,0.21031746031746000,1.6666666666666700
P53,66,M,MOT,Starfish,42,4.548,77,5.766,185,0.454054,38.38,440,0.279545,36.61,172,39,0.07017543859649120,0.5855311355311360,2.2857142857142900
P54,66,F,MOT,Car,58,3.259,103,5.058,180,0.472222,49.27,524,0.284351,42.14,172,53,0.030478955007256900,0.3160377358490570,1.4666666666666700
P54,66,F,MOT,ComputerBox,29,3.621,79,5.684,102,0.617647,58.29,452,0.314159,42.96,96,26,0.04923076923076920,0.258974358974359,1.7857142857142900
P54,66,F,MOT,Degu,32,3.312,70,5.286,130,0.4,16.79,393,0.35369,43.54,118,33,0.05303030303030300,0.4996632996633000,1.6222222222222200
P54,66,F,MOT,Robodog,29,2.655,75,4.533,76,0.421053,16.78,327,0.345566,36.95,69,177,0.012134052388289700,0.37109580349859500,3.5218487394958000
P54,66,F,MOT,Meerkat,53,4.509,99,4.717,224,0.441964,42.8,466,0.343348,46.81,214,68,0.038191395961369600,0.4982084500466850,2.138095238095240
P54,66,F,MOT,Starfish,47,4.043,91,5.429,218,0.40367,41.29,516,0.28876,43.16,205,39,0.029689608636977100,0.24786324786324800,1.5333333333333300
P55,66,F,MOT,Car,47,3.426,95,5.716,159,0.515723,52.07,523,0.359465,70.46,148,40,0.07307692307692310,0.48238095238095200,1.8366013071895400
P55,66,F,MOT,ComputerBox,63,3.286,85,5.788,199,0.432161,48.51,472,0.298729,34.77,189,39,0.02834008097165990,0.19316239316239300,2.727272727272730
P55,66,F,MOT,Degu,63,3.73,90,7.578,223,0.41704,42.51,645,0.285271,48.91,208,44,0.049682875264270600,0.5048701298701300,2.764705882352940
P55,66,F,MOT,Robodog,25,2.88,91,5.747,66,0.5,19.97,505,0.30099,44.87,60,170,0.018447615732683600,0.44658183319948000,3.9855311355311400
P55,66,F,MOT,Meerkat,43,5.209,77,5.013,211,0.412322,58.29,371,0.339623,55.93,200,44,0.10993657505285400,0.651010101010101,2.6783625730994200
P55,66,F,MOT,Starfish,52,4.115,83,6.904,201,0.378109,21.98,587,0.265758,44.09,187,39,0.04723346828609990,0.2951770451770450,2.142857142857140
P56,66,M,MOT,Car,40,3.875,69,5.348,157,0.43949,35.57,364,0.370879,54.83,145,32,0.06048387096774190,0.4458333333333330,2.3333333333333300
P56,66,M,MOT,ComputerBox,20,2.3,41,3.659,58,0.551724,20.16,156,0.442308,38.35,58,14,0.10989010989011000,0.2357142857142860,1.4666666666666700
P56,66,M,MOT,Degu,38,3.079,84,6.298,124,0.516129,38.18,509,0.312377,51.56,117,35,0.03361344537815130,0.1619047619047620,1.3
P56,66,M,MOT,Robodog,16,3.625,55,4.327,59,0.576271,24.63,230,0.421739,43.73,55,129,0.015261627906976700,0.2922111480251020,4.0473407364114600
P56,66,M,MOT,Meerkat,26,3.615,65,5.092,131,0.51145,41.97,318,0.424528,62.38,122,30,0.034482758620689700,0.24444444444444400,1.2
P56,66,M,MOT,Starfish,38,4.421,84,6.81,193,0.46114,47.69,587,0.301533,47.24,180,43,0.053156146179402000,0.3794019933554820,2.450980392156860
